ADDRESS,METERID,LIMIT,the_geom,TYPE,HOURS
2601 W 6TH ST,WA553,1HR,POINT (-118.28052624128499 34.06215941043814),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
2601 W 6TH ST,WA554,1HR,POINT (-118.28058718252565 34.062186807044945),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
601 S PARK VIEW ST,WA578,2HR,POINT (-118.27873719213697 34.06103589318924),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA579,2HR,POINT (-118.27877083338282 34.060982856902335),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA580,2HR,POINT (-118.27895451509788 34.06070541752745),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA581,2HR,POINT (-118.27897145993212 34.06067883100245),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA582,2HR,POINT (-118.27899012330354 34.06064884443768),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA583,2HR,POINT (-118.27901069746386 34.06061561605763),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA584,2HR,POINT (-118.2790279383767 34.06059012329941),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA585,2HR,POINT (-118.27904585664615 34.060561816196866),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA586,2HR,POINT (-118.27906726016319 34.06053043493119),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA588,2HR,POINT (-118.27910376194545 34.06047583409629),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA590,2HR,POINT (-118.27921483925235 34.06030829104501),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA591,2HR,POINT (-118.27923208915898 34.06028001340755),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA592,2HR,POINT (-118.2792522588639 34.06024996021243),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA593,2HR,POINT (-118.27927166547717 34.0602220282781),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA594,2HR,POINT (-118.27937498517406 34.060056069879266),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA595,2HR,POINT (-118.27940725253201 34.06000802115893),SSM,8A-6P Mon-Sat
601 S PARK VIEW ST,WA587,2HR,POINT (-118.27908600555836 34.060502651504024),SSM,8A-6P Mon-Sat
2401 W 6TH ST,WA542,1HR,POINT (-118.2787014040082 34.06134907482357),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
2500 W 6TH ST,WA568,1HR,POINT (-118.28023502930714 34.061836447621225),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
2500 W 6TH ST,WA569,1HR,POINT (-118.2801767433673 34.06181129850612),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
2500 W 6TH ST,WA570,1HR,POINT (-118.28008447495739 34.06177139438189),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
2500 W 6TH ST,WA571,1HR,POINT (-118.2800307180412 34.061747854744866),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat"
500 S ALVARADO ST,WA182,1HR,POINT (-118.27463861261612 34.059698255005124),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
500 S ALVARADO ST,WA183,1HR,POINT (-118.27459614446627 34.05976746563727),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
500 S ALVARADO ST,WA184,1HR,POINT (-118.27456248363977 34.05982047285051),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
500 S ALVARADO ST,WA185,1HR,POINT (-118.27452202036962 34.059884402238175),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
400 S ALVARADO ST,WA1211,1HR,POINT (-118.2741907023243 34.06040538151396),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
400 S ALVARADO ST,WA1213,1HR,POINT (-118.27412094893073 34.06051703038447),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
400 S ALVARADO ST,WA1215,1HR,POINT (-118.27404483526479 34.06063611324683),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
400 S ALVARADO ST,WA1216,1HR,POINT (-118.27401766465184 34.06067764171404),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
601 S BURLINGTON AVE,WU372,2HR,POINT (-118.27211856977334 34.057128526548816),SSM,8A-6P Mon-Sat
601 S BURLINGTON AVE,WU373,2HR,POINT (-118.27215046858751 34.05708079524544),SSM,8A-6P Mon-Sat
601 S BURLINGTON AVE,WU374,2HR,POINT (-118.27219099609938 34.057015830657996),SSM,8A-6P Mon-Sat
601 S BURLINGTON AVE,WU375,2HR,POINT (-118.27222422315312 34.05696355172501),SSM,8A-6P Mon-Sat
601 S BURLINGTON AVE,WU377,2HR,POINT (-118.27240539189272 34.05668946912895),SSM,8A-6P Mon-Sat
601 S BURLINGTON AVE,WU378,2HR,POINT (-118.27243448545781 34.05664320996734),SSM,8A-6P Mon-Sat
1901 W OLYMPIC BLVD,WA1040,2HR,POINT (-118.27846461897514 34.05121578826135),SSM,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat"
1001 S ALVARADO ST,WA1641,1HR,POINT (-118.28037593617185 34.051069149271996),SSM,8A-8P Mon-Sat
1001 S ALVARADO ST,WA1642,1HR,POINT (-118.2805019131606 34.05087692353362),SSM,8A-8P Mon-Sat
1001 S ALVARADO ST,WA1643,1HR,POINT (-118.28053122956652 34.05082993436643),SSM,8A-8P Mon-Sat
1001 S ALVARADO ST,WA1644,1HR,POINT (-118.28057379449609 34.050760746672644),SSM,8A-8P Mon-Sat
1001 S ALVARADO ST,WA1645,1HR,POINT (-118.28060448675816 34.050712914965985),SSM,8A-8P Mon-Sat
1000 S ALVARADO ST,WA1700,1HR,POINT (-118.2804089333595 34.05065675398552),SSM,8A-8P Mon-Sat
1000 S ALVARADO ST,WA1701,1HR,POINT (-118.28036311113617 34.050730352258974),SSM,8A-8P Mon-Sat
1000 S ALVARADO ST,WA1702,1HR,POINT (-118.28034075221957 34.05076629951304),SSM,8A-8P Mon-Sat
1000 S ALVARADO ST,WA1703,1HR,POINT (-118.2801966864494 34.0509908725054),SSM,8A-8P Mon-Sat
1000 S ALVARADO ST,WA1704,1HR,POINT (-118.28016941204177 34.05103319684148),SSM,8A-8P Mon-Sat
1301 S ALVARADO ST,WA1410,1HR,POINT (-118.28297438949753 34.04700614072437),SSM,8A-8P Mon-Sat
1301 S ALVARADO ST,WA1412,1HR,POINT (-118.28309421514919 34.046819808292284),SSM,8A-8P Mon-Sat
1301 S ALVARADO ST,WA1413,1HR,POINT (-118.28325476518445 34.046567188041614),SSM,8A-8P Mon-Sat
1301 S ALVARADO ST,WA1414,1HR,POINT (-118.28328315454847 34.04652206925665),SSM,8A-8P Mon-Sat
1301 S ALVARADO ST,WA1415,1HR,POINT (-118.28332387076959 34.046459002721186),SSM,8A-8P Mon-Sat
1301 S ALVARADO ST,WA1417,1HR,POINT (-118.28345060955394 34.046264235223774),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1418,1HR,POINT (-118.28325642170564 34.04620361040036),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1419,1HR,POINT (-118.283210225606 34.04627440055582),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1420,1HR,POINT (-118.283182311081 34.046319646227026),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1421,1HR,POINT (-118.28314147355971 34.04638240377363),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1422,1HR,POINT (-118.28311026118071 34.046430860299154),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1423,1HR,POINT (-118.28306653858941 34.04650200701588),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1425,1HR,POINT (-118.28292102987922 34.04673143505954),SSM,8A-8P Mon-Sat
1300 S ALVARADO ST,WA1424A,1HR,POINT (-118.28296076795307 34.04666660574168),SSM,8A-8P Mon-Sat
1301 S WESTLAKE AVE,WA1435,1HR,POINT (-118.2815500657933 34.04648179976286),SSM,8A-8P Mon-Sat
1301 S WESTLAKE AVE,WA1436,1HR,POINT (-118.28158131673958 34.04643326602115),SSM,8A-8P Mon-Sat
5300 S CRENSHAW BLVD,CS111,2HR,POINT (-118.33054101975648 33.99452880134122),SSM,8A-8P Mon-Sat
4600 S CRENSHAW BLVD,LP113,2HR,POINT (-118.33061569884634 34.001220101115926),SSM,NP 10P-5A Nightly | PKG 8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV422,6HR,POINT (-118.29487001928553 34.08621664840685),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV423,6HR,POINT (-118.29487070529237 34.08624864482338),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV424,6HR,POINT (-118.29487110689658 34.08628110982952),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV425,6HR,POINT (-118.29487112498775 34.08631389942185),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV426,6HR,POINT (-118.29487012428459 34.086355526518844),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV427,6HR,POINT (-118.29486997151652 34.086393329950305),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV428,6HR,POINT (-118.29486970579023 34.086425525224115),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV429,6HR,POINT (-118.29486981260389 34.08645582005981),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV430,6HR,POINT (-118.29487094304483 34.08649155494847),SSM,8A-8P Mon-Sat
800 N HELIOTROPE DR,SVV431,6HR,POINT (-118.29486991302637 34.08652486818507),SSM,8A-8P Mon-Sat
2200 N BROADWAY,LH11A,1HR,POINT (-118.21737672904668 34.0735187961506),SSM,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Sat
6300 W SUNSET BLVD,SV308A,15MIN,POINT (-118.32728755237714 34.0978933813674),SSM,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun"
1400 N COLE PL,SV377,1HR,POINT (-118.33020818384286 34.09666683431841),SSM,"8A-8P Mon-Sat, 11A-8P Sun"
5001 W SUNSET BLVD,VS288,2HR,POINT (-118.2998885615962 34.09824317161805),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS345,2HR,POINT (-118.29545083640375 34.09802934325399),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS346,2HR,POINT (-118.29538504402866 34.09802990800121),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS347,2HR,POINT (-118.29529159370193 34.098030504248435),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS348,2HR,POINT (-118.2952261752569 34.09803108512442),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS377,2HR,POINT (-118.29479530583504 34.09803142041746),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS378,2HR,POINT (-118.29473462258336 34.09803246007436),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS379,2HR,POINT (-118.29464218335735 34.09803244662132),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS380,2HR,POINT (-118.29457609048615 34.09803261678945),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS381,2HR,POINT (-118.29448345595425 34.09803284259735),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS382,2HR,POINT (-118.29441693583598 34.0980332436106),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS383,2HR,POINT (-118.29432441278594 34.09803466175283),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4800 W SUNSET BLVD,VS384,2HR,POINT (-118.29425928666578 34.0980336276495),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4700 W SUNSET BLVD,VS412,2HR,POINT (-118.29368692385573 34.09803498235187),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4700 W SUNSET BLVD,VS413,2HR,POINT (-118.29361833305342 34.098035149052315),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4700 W SUNSET BLVD,VS414,2HR,POINT (-118.29352702061264 34.09803537091414),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1401 N NEW HAMPSHIRE AVE,VS426,2HR,POINT (-118.29294405003141 34.09786859667874),SSM,8A-8P Mon-Sat
1401 N NEW HAMPSHIRE AVE,VS427,2HR,POINT (-118.292944213162 34.097819267114744),SSM,8A-8P Mon-Sat
1401 N NEW HAMPSHIRE AVE,VS428,2HR,POINT (-118.29294399068594 34.097741841315624),SSM,8A-8P Mon-Sat
1401 N NEW HAMPSHIRE AVE,VS429,2HR,POINT (-118.29294409113852 34.097688540652),SSM,8A-8P Mon-Sat
1300 N NEW HAMPSHIRE AVE,VS453,2HR,POINT (-118.29281469149055 34.095698159159426),SSM,8A-8P Mon-Sat
1300 N NEW HAMPSHIRE AVE,VS454,2HR,POINT (-118.29281515291467 34.09575689740412),SSM,8A-8P Mon-Sat
1300 N NEW HAMPSHIRE AVE,VS455,2HR,POINT (-118.2928150920848 34.095829582724015),SSM,8A-8P Mon-Sat
1300 N NEW HAMPSHIRE AVE,VS456,2HR,POINT (-118.29281367313389 34.09588237991787),SSM,8A-8P Mon-Sat
1201 N VERMONT AVE,VS518,2HR,POINT (-118.29187213555308 34.09510091332796),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS519,2HR,POINT (-118.29187336925726 34.095043619750605),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS520,2HR,POINT (-118.29187306013205 34.09483179548461),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS521,2HR,POINT (-118.29187216682163 34.09478107921907),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS522,2HR,POINT (-118.29187247667316 34.09470561297605),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS523,2HR,POINT (-118.29187270967218 34.094649110658),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS524,2HR,POINT (-118.29187169791248 34.09456476751155),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS525,2HR,POINT (-118.29187043063948 34.0943426374396),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS526,2HR,POINT (-118.29187015611423 34.094287268673334),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS529,2HR,POINT (-118.29187028429952 34.09400668797123),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS530,2HR,POINT (-118.2918707230814 34.09392686881937),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS531,2HR,POINT (-118.2918687357478 34.0938731747315),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS532,2HR,POINT (-118.29186979825303 34.093808128389696),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS533,2HR,POINT (-118.29186835103907 34.093669496003955),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1201 N VERMONT AVE,VS517A,2HR,POINT (-118.29187241204303 34.09518012943294),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS289,1HR,POINT (-118.30083367869187 34.09822730548873),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS290,1HR,POINT (-118.30092610701173 34.098227234897735),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS291,1HR,POINT (-118.30099229542068 34.098227070033815),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS292,1HR,POINT (-118.30108287889 34.0982262871998),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS293,1HR,POINT (-118.30115057671435 34.09822667563533),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS294,1HR,POINT (-118.30124271634895 34.0982261872103),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS295,1HR,POINT (-118.30131435189234 34.09822555151195),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS296,1HR,POINT (-118.30139987880922 34.09822686900054),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS297,1HR,POINT (-118.30146805247747 34.09822608227518),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS298,1HR,POINT (-118.30155509821178 34.098225149244094),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS539,1HR,POINT (-118.3017049258494 34.09822603195445),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5101 W SUNSET BLVD,VS540,1HR,POINT (-118.3017643201515 34.098225454502604),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS542,1HR,POINT (-118.302033325862 34.09802277856505),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS543,1HR,POINT (-118.30197306421253 34.09802230712968),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS545,1HR,POINT (-118.30173670061777 34.09802141911013),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS546,1HR,POINT (-118.30155931642491 34.09802334047008),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS299,1HR,POINT (-118.30135938950609 34.09802474532303),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS300,1HR,POINT (-118.30119917294857 34.09802509343288),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
5100 W SUNSET BLVD,VS301,1HR,POINT (-118.30101055186098 34.09802489544813),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4701 W FOUNTAIN AVE,VS446,1HR,POINT (-118.29207012633566 34.095625308999594),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS447,1HR,POINT (-118.2921331698533 34.095623843954336),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS448,1HR,POINT (-118.29221803042334 34.09562103962523),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS449,1HR,POINT (-118.29247521790333 34.09561158050528),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS450,1HR,POINT (-118.29253656909322 34.09560898251339),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS451,1HR,POINT (-118.2926331568004 34.09560518035072),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS452,1HR,POINT (-118.29270177311963 34.095603585213595),SSM,8A-8P Mon-Sat
4700 W FOUNTAIN AVE,VS515,1HR,POINT (-118.29283286747749 34.09545050284341),SSM,8A-8P Mon-Sat
4700 W FOUNTAIN AVE,VS515A,1HR,POINT (-118.29276906754308 34.09545377856159),SSM,8A-8P Mon-Sat
4700 W FOUNTAIN AVE,VS516,1HR,POINT (-118.2926791772002 34.095456077080975),SSM,8A-8P Mon-Sat
4700 W FOUNTAIN AVE,VS516A,1HR,POINT (-118.29260257780105 34.09545832982392),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS459,4HR,POINT (-118.29309731374292 34.09556191132448),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS459A,4HR,POINT (-118.29315303311448 34.095560249850664),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS460,4HR,POINT (-118.29324236417493 34.095556036579346),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS460A,4HR,POINT (-118.29330849932548 34.095551794810206),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS461,4HR,POINT (-118.29339696520566 34.09554901155265),SSM,8A-8P Mon-Sat
4701 W FOUNTAIN AVE,VS462,4HR,POINT (-118.29346200432423 34.095546807120236),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS501,4HR,POINT (-118.29445657623535 34.09538965098098),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS502,4HR,POINT (-118.29439254323654 34.09539195086319),SSM,8A-8P Mon-Sat
4801 W FOUNTAIN AVE,VS463,4HR,POINT (-118.29420329024157 34.095518761653246),SSM,8A-8P Mon-Sat
4801 W FOUNTAIN AVE,VS464,4HR,POINT (-118.29429688090885 34.0955166540287),SSM,8A-8P Mon-Sat
4801 W FOUNTAIN AVE,VS464A,4HR,POINT (-118.29435857087162 34.09551304997873),SSM,8A-8P Mon-Sat
1200 N EDGEMONT ST,VS482,2HR,POINT (-118.29604495944223 34.09510006295103),SSM,8A-8P Mon-Sat
1200 N EDGEMONT ST,VS483,2HR,POINT (-118.29604546563382 34.095173255352854),SSM,8A-8P Mon-Sat
1200 N EDGEMONT ST,VS484,2HR,POINT (-118.29604559603015 34.09523029050387),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS485,1HR,POINT (-118.29583494158213 34.095340294024055),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS486,1HR,POINT (-118.2957406228698 34.09534422391571),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS487,1HR,POINT (-118.29567314398217 34.09534562777238),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS488,1HR,POINT (-118.29551892505393 34.09535206697902),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS489,1HR,POINT (-118.2954532919322 34.09535355635162),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS490,1HR,POINT (-118.29535889357646 34.09535857068386),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS491,1HR,POINT (-118.29529481415148 34.09536059889495),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS508,1HR,POINT (-118.29366149169904 34.09542035757415),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS509,1HR,POINT (-118.29359723329205 34.09542297672516),SSM,8A-8P Mon-Sat
4800 W FOUNTAIN AVE,VS510,1HR,POINT (-118.29350344695587 34.095426737694254),SSM,8A-8P Mon-Sat
1401 N VERMONT AVE,VS438,1HR,POINT (-118.29187887038236 34.09718474388659),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1401 N VERMONT AVE,VS439,1HR,POINT (-118.29187960195033 34.097128883152095),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1301 N VERMONT AVE,VS440,1HR,POINT (-118.29187956645617 34.096836499951294),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1301 N VERMONT AVE,VS441,1HR,POINT (-118.29187846255407 34.09669968871901),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1301 N VERMONT AVE,VS442,1HR,POINT (-118.29187848746588 34.09650502160412),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1301 N VERMONT AVE,VS443,1HR,POINT (-118.291876291478 34.0964508673322),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1301 N VERMONT AVE,VS445,1HR,POINT (-118.29187662233578 34.096241086185884),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
1301 N VERMONT AVE,VS444,1HR,POINT (-118.29187638148628 34.096373888844),SSM,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat"
4501 W FOUNTAIN AVE,VS107,2HR,POINT (-118.28926153365629 34.095739369678164),SSM,8A-8P Mon-Sat
4501 W FOUNTAIN AVE,VS108,2HR,POINT (-118.28933066723415 34.095737200941294),SSM,8A-8P Mon-Sat
4601 W FOUNTAIN AVE,VS109,2HR,POINT (-118.28941322154989 34.09573333669065),SSM,8A-8P Mon-Sat
4601 W FOUNTAIN AVE,VS110,2HR,POINT (-118.28948223836586 34.095732188681595),SSM,8A-8P Mon-Sat
4601 W FOUNTAIN AVE,VS114,2HR,POINT (-118.28979513844025 34.09571825638551),SSM,8A-8P Mon-Sat
4601 W FOUNTAIN AVE,VS115,2HR,POINT (-118.28987884872882 34.09571525541691),SSM,8A-8P Mon-Sat
4601 W FOUNTAIN AVE,VS116,2HR,POINT (-118.28994239087403 34.09571255161287),SSM,8A-8P Mon-Sat
